Location,Near,Medium,Far
Door,1.0,0.0,0.0
Door_Passed,0.8604651162790697,0.09302325581395349,0.046511627906976744
Door_Start,0.9354838709677419,0.03225806451612903,0.03225806451612903
Wall,1.0,0.0,0.0
